Event Name,Event Date,Event Location,Fighter 1,Fighter 1 URL,Fighter 1 Result,Fighter 2,Fighter 2 URL,Fighter 2 Result,Weight Class,Method,Round,Time,Fighter 1 KD,Fighter 2 KD,Fighter 1 Str,Fighter 2 Str,Fighter 1 TD,Fighter 2 TD,Fighter 1 Sub,Fighter 2 Sub,Fight Detail URL,Fighter 1 Name,Fighter 1 Nickname,Fighter 1 Height,Fighter 1 Weight,Fighter 1 Reach,Fighter 1 STANCE,Fighter 1 DOB,Fighter 1 SLpM,Fighter 1 Str. Acc.,Fighter 1 SApM,Fighter 1 Str. Def,Fighter 1 TD Avg.,Fighter 1 TD Acc.,Fighter 1 TD Def.,Fighter 1 Sub. Avg.,Fighter 2 Name,Fighter 2 Nickname,Fighter 2 Height,Fighter 2 Weight,Fighter 2 Reach,Fighter 2 STANCE,Fighter 2 DOB,Fighter 2 SLpM,Fighter 2 Str. Acc.,Fighter 2 SApM,Fighter 2 Str. Def,Fighter 2 TD Avg.,Fighter 2 TD Acc.,Fighter 2 TD Def.,Fighter 2 Sub. Avg.,F1_Totals_KD,F1_Totals_Sig_Str,F1_Totals_Sig_Str_Pct,F1_Totals_Total_Str,F1_Totals_TD,F1_Totals_TD_Pct,F1_Totals_Sub_Att,F1_Totals_Rev,F1_Totals_Ctrl,F2_Totals_KD,F2_Totals_Sig_Str,F2_Totals_Sig_Str_Pct,F2_Totals_Total_Str,F2_Totals_TD,F2_Totals_TD_Pct,F2_Totals_Sub_Att,F2_Totals_Rev,F2_Totals_Ctrl,F3_Totals_KD,F3_Totals_Sig_Str,F3_Totals_Sig_Str_Pct,F3_Totals_Total_Str,F3_Totals_TD,F3_Totals_TD_Pct,F3_Totals_Sub_Att,F3_Totals_Rev,F3_Totals_Ctrl,F4_Totals_KD,F4_Totals_Sig_Str,F4_Totals_Sig_Str_Pct,F4_Totals_Total_Str,F4_Totals_TD,F4_Totals_TD_Pct,F4_Totals_Sub_Att,F4_Totals_Rev,F4_Totals_Ctrl,F5_Totals_KD,F5_Totals_Sig_Str,F5_Totals_Sig_Str_Pct,F5_Totals_Total_Str,F5_Totals_TD,F5_Totals_TD_Pct,F5_Totals_Sub_Att,F5_Totals_Rev,F5_Totals_Ctrl
UFC 320: Ankalaev vs. Pereira 2,"Las Vegas, Nevada, USA",N/A,Alex Pereira,http://ufcstats.com/fighter-details/e5549c82bfb5582d,N/A,Magomed Ankalaev,http://ufcstats.com/fighter-details/d802174b0c0c1f4e,N/A,Light Heavyweight,"KO/TKO

      

        Elbows",1,1:20,0,0,28,4,0,0,0,0,http://ufcstats.com/fight-details/0de1ef0b9f3a79c0,Alex Pereira,Poatan,"6' 4""",205 lbs.,"79""",Orthodox,"Jul 07, 1987",5.16,62%,3.50,53%,0.11,50%,79%,0.2,Magomed Ankalaev,,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",3.65,52%,2.59,56%,0.79,22%,87%,0.0,4 of 928 of 45,44%62%,0 of 421 of 35,3 of 43 of 6,1 of 14 of 4,4 of 95 of 12,0 of 00 of 0,0 of 023 of 33,0:000:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 320: Ankalaev vs. Pereira 2,"Las Vegas, Nevada, USA",N/A,Merab Dvalishvili,http://ufcstats.com/fighter-details/c03520b5c88ed6b4,N/A,Cory Sandhagen,http://ufcstats.com/fighter-details/65f09bacd3957381,N/A,Bantamweight,U-DEC,5,5:00,0,0,114,80,20,0,0,0,http://ufcstats.com/fight-details/a8511df8285f5c91,Merab Dvalishvili,The Machine,"5' 6""",135 lbs.,"68""",Orthodox,"Jan 10, 1991",4.33,42%,2.55,56%,6.40,37%,82%,0.3,Cory Sandhagen,,"5' 11""",135 lbs.,"70""",Switch,"Apr 20, 1992",4.86,45%,3.47,56%,1.15,34%,56%,0.2,11 of 4627 of 53,23%50%,9 of 4214 of 39,0 of 24 of 4,2 of 29 of 10,10 of 4527 of 53,1 of 10 of 0,0 of 00 of 0,0:520:00,33 of 492 of 9,67%22%,33 of 491 of 6,0 of 00 of 2,0 of 01 of 1,16 of 252 of 9,8 of 100 of 0,9 of 140 of 0,3:430:00,15 of 4814 of 35,31%40%,12 of 447 of 28,1 of 24 of 4,2 of 23 of 3,13 of 4514 of 35,2 of 30 of 0,0 of 00 of 0,1:570:00,21 of 5619 of 43,37%44%,9 of 4212 of 34,5 of 64 of 5,7 of 83 of 4,17 of 5219 of 43,4 of 40 of 0,0 of 00 of 0,1:260:00,34 of 6618 of 44,51%40%,23 of 5412 of 36,7 of 86 of 8,4 of 40 of 0,23 of 5318 of 44,7 of 90 of 0,4 of 40 of 0,2:040:00
UFC 320: Ankalaev vs. Pereira 2,"Las Vegas, Nevada, USA",N/A,Jiri Prochazka,http://ufcstats.com/fighter-details/009341ed974bad72,N/A,Khalil Rountree Jr.,http://ufcstats.com/fighter-details/749f572d1d3161fb,N/A,Light Heavyweight,"KO/TKO

      

        Punches",3,3:04,1,0,71,66,0,0,0,0,http://ufcstats.com/fight-details/2560ea97b2cce4ef,Jiri Prochazka,,"6' 3""",205 lbs.,"80""",Orthodox,"Oct 14, 1992",5.69,55%,5.60,45%,0.51,60%,68%,0.2,Khalil Rountree Jr.,,"6' 1""",205 lbs.,"76""",Southpaw,"Feb 26, 1990",3.88,40%,4.33,49%,0.00,0%,58%,0.1,12 of 2415 of 32,50%46%,7 of 179 of 22,1 of 24 of 6,4 of 52 of 4,12 of 2415 of 32,0 of 00 of 0,0 of 00 of 0,0:000:00,12 of 4324 of 65,27%36%,7 of 3410 of 47,1 of 47 of 9,4 of 57 of 9,12 of 4324 of 65,0 of 00 of 0,0 of 00 of 0,0:000:00,47 of 7127 of 61,66%44%,30 of 4925 of 58,14 of 191 of 2,3 of 31 of 1,37 of 6023 of 54,10 of 114 of 7,0 of 00 of 0,0:120:02,,,,,,,,,,,,,,,,,,
UFC 320: Ankalaev vs. Pereira 2,"Las Vegas, Nevada, USA",N/A,Youssef Zalal,http://ufcstats.com/fighter-details/52c2ae6d2f2d2613,N/A,Josh Emmett,http://ufcstats.com/fighter-details/fba03cd6cc28dc41,N/A,Featherweight,"SUB

      

        Armbar",1,1:38,0,0,0,0,1,0,1,0,http://ufcstats.com/fight-details/84ebd144d5e79c88,Youssef Zalal,The Moroccan Devil,"5' 10""",145 lbs.,"72""",Switch,"Sep 04, 1996",3.03,50%,1.78,66%,2.17,31%,59%,1.4,Josh Emmett,CC0,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985",3.72,35%,4.43,60%,1.08,37%,43%,0.1,0 of 00 of 1,---0%,0 of 00 of 1,0 of 00 of 0,0 of 00 of 0,0 of 00 of 1,0 of 00 of 0,0 of 00 of 0,0:160:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 320: Ankalaev vs. Pereira 2,"Las Vegas, Nevada, USA",N/A,Joe Pyfer,http://ufcstats.com/fighter-details/c1085e1701b13eca,N/A,Abus Magomedov,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4,N/A,Middleweight,"SUB

      

        Rear Naked Choke",2,1:46,1,0,6,11,0,1,2,1,http://ufcstats.com/fight-details/d006dd2513bd376d,Joe Pyfer,Bodybagz,"6' 2""",185 lbs.,"75""",Orthodox,"Sep 17, 1996",3.47,43%,3.05,53%,1.23,33%,50%,1.0,Abus Magomedov,,"6' 2""",185 lbs.,"78""",Orthodox,"Sep 02, 1990",3.07,49%,3.43,55%,2.61,59%,100%,0.4,11 of 121 of 3,91%33%,6 of 71 of 3,5 of 50 of 0,0 of 00 of 0,3 of 41 of 3,0 of 00 of 0,8 of 80 of 0,2:360:44,0 of 05 of 7,---71%,0 of 05 of 7,0 of 00 of 0,0 of 00 of 0,0 of 02 of 3,0 of 00 of 0,0 of 03 of 4,0:001:32,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 320: Ankalaev vs. Pereira 2,"Las Vegas, Nevada, USA",N/A,Ateba Gautier,http://ufcstats.com/fighter-details/2f815ed5f8278ba6,N/A,Tre'ston Vines,http://ufcstats.com/fighter-details/563a1d42bb0e3cef,N/A,Middleweight,"KO/TKO

      

        Punches",1,1:41,1,0,6,0,1,0,0,0,http://ufcstats.com/fight-details/9418ebb3db2a4bae,Ateba Gautier,The Silent Assassin,"6' 4""",185 lbs.,"81""",Switch,"Apr 10, 2002",6.57,60%,1.95,53%,0.98,100%,92%,0.0,Tre'ston Vines,TVTime,"6' 1""",185 lbs.,"79""",Orthodox,"Jun 18, 1996",0.00,0%,3.56,50%,0.00,0%,0%,0.0,6 of 120 of 1,50%0%,4 of 100 of 0,2 of 20 of 0,0 of 00 of 1,1 of 50 of 1,4 of 40 of 0,1 of 30 of 0,0:040:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 320: Ankalaev vs. Pereira 2,"Las Vegas, Nevada, USA",N/A,Daniel Santos,http://ufcstats.com/fighter-details/b67d6bacc68d4c92,N/A,JooSang Yoo,http://ufcstats.com/fighter-details/a44020ea2e8cd026,N/A,Catch Weight,"KO/TKO

      

        Punch",2,0:21,1,0,27,31,1,0,0,0,http://ufcstats.com/fight-details/7b34aa1eb09b8301,Daniel Santos,Willycat,"5' 7""",145 lbs.,"67""",Orthodox,"Mar 12, 1995",4.76,40%,5.03,51%,3.01,40%,73%,0.0,JooSang Yoo,Zombie Jr.,"5' 7""",145 lbs.,"71""",Orthodox,"Jan 21, 1994",6.36,58%,4.99,56%,0.00,0%,50%,0.0,17 of 4728 of 49,36%57%,6 of 2614 of 34,2 of 84 of 4,9 of 1310 of 11,17 of 4627 of 48,0 of 11 of 1,0 of 00 of 0,1:180:00,10 of 153 of 6,66%50%,10 of 151 of 4,0 of 01 of 1,0 of 01 of 1,1 of 43 of 6,0 of 00 of 0,9 of 110 of 0,0:050:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 320: Ankalaev vs. Pereira 2,"Las Vegas, Nevada, USA",N/A,Jakub Wiklacz,http://ufcstats.com/fighter-details/6902fcf0610dd303,N/A,Patchy Mix,http://ufcstats.com/fighter-details/2cfba6c837c03ed0,N/A,Bantamweight,S-DEC,3,5:00,0,0,46,37,0,5,3,0,http://ufcstats.com/fight-details/b09ecdc8ef0f0d20,Jakub Wiklacz,,"5' 10""",135 lbs.,"72""",Orthodox,"Sep 10, 1996",3.07,55%,2.47,36%,0.00,0%,28%,3.0,Patchy Mix,No Love,"5' 11""",135 lbs.,"70""",Southpaw,"Aug 16, 1993",5.30,43%,7.30,43%,2.50,62%,0%,0.0,5 of 813 of 24,62%54%,2 of 37 of 12,0 of 15 of 10,3 of 41 of 2,5 of 89 of 19,0 of 00 of 0,0 of 04 of 5,1:482:01,25 of 4131 of 56,60%55%,14 of 2813 of 29,6 of 816 of 24,5 of 52 of 3,19 of 3327 of 52,5 of 64 of 4,1 of 20 of 0,1:170:03,7 of 92 of 3,77%66%,7 of 91 of 2,0 of 01 of 1,0 of 00 of 0,1 of 12 of 3,0 of 00 of 0,6 of 80 of 0,4:360:00,,,,,,,,,,,,,,,,,,
UFC 320: Ankalaev vs. Pereira 2,"Las Vegas, Nevada, USA",N/A,Edmen Shahbazyan,http://ufcstats.com/fighter-details/4144798612ef96e5,N/A,Andre Muniz,http://ufcstats.com/fighter-details/886264a0c9f4ea5e,N/A,Middleweight,"KO/TKO

      

        Elbows",1,4:58,1,0,25,15,0,1,0,0,http://ufcstats.com/fight-details/1c7cc3a22ab7d907,Edmen Shahbazyan,The Golden Boy,"6' 2""",185 lbs.,"75""",Orthodox,"Nov 20, 1997",3.80,48%,3.60,49%,1.62,37%,66%,0.4,Andre Muniz,Sergipano,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 17, 1990",2.08,48%,2.46,51%,3.98,48%,35%,1.1,25 of 5015 of 38,50%39%,20 of 456 of 20,3 of 32 of 10,2 of 27 of 8,12 of 2715 of 38,1 of 20 of 0,12 of 210 of 0,0:390:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 320: Ankalaev vs. Pereira 2,"Las Vegas, Nevada, USA",N/A,Punahele Soriano,http://ufcstats.com/fighter-details/64facb6cc564262d,N/A,Nikolay Veretennikov,http://ufcstats.com/fighter-details/0f1efce7d2571d10,N/A,Welterweight,U-DEC,3,5:00,0,0,39,9,4,0,1,2,http://ufcstats.com/fight-details/a951090fb402fd20,Punahele Soriano,Puna,"5' 11""",170 lbs.,"72""",Southpaw,"Nov 22, 1992",4.66,54%,3.42,47%,1.83,48%,40%,0.1,Nikolay Veretennikov,,"6' 1""",170 lbs.,"74""",Orthodox,"Dec 22, 1989",2.49,56%,3.25,44%,0.43,16%,62%,0.4,21 of 306 of 7,70%85%,21 of 281 of 1,0 of 24 of 5,0 of 01 of 1,0 of 22 of 2,1 of 13 of 4,20 of 271 of 1,4:050:21,11 of 131 of 3,84%33%,11 of 130 of 0,0 of 01 of 3,0 of 00 of 0,1 of 10 of 2,0 of 01 of 1,10 of 120 of 0,4:130:28,7 of 112 of 2,63%100%,6 of 101 of 1,1 of 11 of 1,0 of 00 of 0,0 of 12 of 2,0 of 00 of 0,7 of 100 of 0,4:170:00,,,,,,,,,,,,,,,,,,
